Parameter,par_with_unit,key_par,Reservoir Model,Fracture Shape,Ramey Production Wellbore Model,Reservoir Volume Option,Reservoir Impedance,End-Use Option,Power Plant Type,Economic Model,Total Capital Cost,Well Drilling and Completion Capital Cost,Reservoir Stimulation Capital Cost,Surface Plant Capital Cost,Field Gathering System Capital Cost,Exploration Capital Cost,Total O&M Cost,Wellfield O&M Cost,Surface Plant O&M Cost,Water Cost,default_val
Reservoir Model,Reservoir Model,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4
Drawdown Parameter,Drawdown Parameter (kg/s/m^2),-999,3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0001
Drawdown Parameter,Drawdown Parameter (1/year),-999,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.005
Reservoir Depth,Reservoir Depth (km),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3
Number of Segments,Number of Segments,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1
Gradient 1,Gradient 1 (deg.C/km),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,50
Gradient 2,Gradient 2 (deg.C/km),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,50
Thickness 1,Thickness 1 (km),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2
Gradient 3,Gradient 3 (deg.C/km),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,50
Thickness 2,Thickness 2 (km),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2
Gradient 4,Gradient 4 (deg.C/km),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,50
Thickness 3,Thickness 3 (km),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2
Maximum Temperature,Maximum Temperature (deg.C),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,400
Number of Production Wells,Number of Production Wells,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2
Number of Injection Wells,Number of Injection Wells,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2
Production Well Diameter,Production Well Diameter (Inch),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8
Injection Well Diameter,Injection Well Diameter (Inch),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8
Ramey Production Wellbore Model,Ramey Production Wellbore Model,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1
Production Wellbore Temperature Drop,Production Wellbore Temperature Drop (deg.C),-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5
Injection Wellbore Temperature Gain,Injection Wellbore Temperature Gain (deg.C),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0
Production Flow Rate per Well,Production Flow Rate per Well (kg/s),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,50
Fracture Shape,Fracture Shape,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1
Fracture Shape,Fracture Shape,-999,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1
Fracture Area,Fracture Area (m^2),-999,1,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,250000
Fracture Area,Fracture Area (m^2),-999,2,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,250000
Fracture Height,Fracture Height (m),-999,1,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,500
Fracture Height,Fracture Height (m),-999,1,3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,500
Fracture Height,Fracture Height (m),-999,1,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,500
Fracture Height,Fracture Height (m),-999,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,500
Fracture Height,Fracture Height (m),-999,2,3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,500
Fracture Height,Fracture Height (m),-999,2,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,500
Fracture Width,Fracture Width (m),-999,1,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,500
Fracture Width,Fracture Width (m),-999,2,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,500
Reservoir Volume Option,Reservoir Volume Option,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4
Reservoir Volume Option,Reservoir Volume Option,-999,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4
Reservoir Volume Option,Reservoir Volume Option,-999,3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3
Reservoir Volume Option,Reservoir Volume Option,-999,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3
Reservoir Volume Option,Reservoir Volume Option,-999,5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3
Number of Fractures,Number of Fractures,-999,1,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10
Number of Fractures,Number of Fractures,-999,1,-999,-999,3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10
Number of Fractures,Number of Fractures,-999,2,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10
Number of Fractures,Number of Fractures,-999,2,-999,-999,3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10
Fracture Separation,Fracture Separation (m),-999,1,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,50
Fracture Separation,Fracture Separation (m),-999,1,-999,-999,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,50
Fracture Separation,Fracture Separation (m),-999,2,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,50
Fracture Separation,Fracture Separation (m),-999,2,-999,-999,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,50
Reservoir Volume,Reservoir Volume (m^3),-999,-999,-999,-999,3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,125000000
Reservoir Volume,Reservoir Volume (m^3),-999,-999,-999,-999,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,125000000
Water Loss Fraction,Water Loss Fraction,-999,-999,-999,-999,3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0
Water Loss Fraction,Water Loss Fraction,-999,-999,-999,-999,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0
Reservoir Impedance,Reservoir Impedance (Gpa*s/m^3),-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1
Productivity Index,Productivity Index (kg/s/bar),-999,-999,-999,-999,-999,0,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10
Productivity Index,Productivity Index (kg/s/bar),-999,-999,-999,-999,-999,0,-999,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10
Injectivity Index,Injectivity Index (kg/s/bar),-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10
Reservoir Hydrostatic Pressure,Reservoir Hydrostatic Pressure (kPa),-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1
Production Wellhead Pressure,Production Wellhead Pressure (kPa),-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1
Plant Outlet Pressure,Plant Outlet Pressure (kPa),-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0
Injection Temperature,Injection Temperature (deg.C),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,70
Maximum Drawdown,Maximum Drawdown,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1
Maximum Drawdown,Maximum Drawdown,-999,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1
Maximum Drawdown,Maximum Drawdown,-999,3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1
Maximum Drawdown,Maximum Drawdown,-999,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1
Reservoir Heat Capacity,Reservoir Heat Capacity (J/kg/K),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1000
Reservoir Density,Reservoir Density (kg/m^3),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2700
Reservoir Thermal Conductivity,Reservoir Thermal Conductivity (W/m/K),-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3
